Timestamp;Frame;Sts;Lat;Lon;Altitude;Pressure;Temperature;Acceleration X;Acceleration Y;Acceleration Z; Annex 0;Annex 1;
[17:56:32.941] ;32 55 31 00 45 79 c2 19 34 e4 f8 ff b3 01 ec 0e f1 ff 81 f8 d7 00 cf ff 00 00 42;66;432175429;-465868;435;3233074;3820;-15;-1919;215;-49;0
[17:56:33.451] ;a3 f2 30 00 a3 77 c2 19 4a e4 f8 ff b3 01 e3 0e fd ff 71 f9 73 00 d3 ff 00 00 42;66;432175011;-465846;435;3207843;3811;-3;-1679;115;-45;0
[17:56:34.015] ;23 8e 30 00 8c 76 c2 19 59 e4 f8 ff b3 01 d5 0e 19 00 57 fa 85 00 d7 ff 00 00 42;66;432174732;-465831;435;3182115;3797;25;-1449;133;-41;0
[17:56:34.522] ;0d 39 30 00 01 76 c2 19 60 e4 f8 ff b3 01 d1 0e 3b 00 f5 fa 5c 00 db ff 00 00 42;66;432174593;-465824;435;3160333;3793;59;-1291;92;-37;0
[17:56:35.033] ;af e9 2f 00 d3 73 c2 19 7e e4 f8 ff b3 01 cb 0e 27 00 a5 fb 40 00 dd ff 00 00 42;66;432174035;-465794;435;3140015;3787;39;-1115;64;-35;0
[17:56:35.541] ;a1 a0 2f 00 bc 72 c2 19 8d e4 f8 ff b3 01 c0 0e f9 ff 33 fc 60 00 e0 ff 00 00 42;66;432173756;-465779;435;3121313;3776;-7;-973;96;-32;0
[17:56:36.044] ;2e 5e 2f 00 19 71 c2 19 a4 e4 f8 ff b3 01 b3 0e 0b 00 aa fc 3e 00 e2 ff 00 00 42;66;432173337;-465756;435;3104302;3763;11;-854;62;-30;0
[17:56:36.552] ;bf 1d 2f 00 03 70 c2 19 b3 e4 f8 ff b3 01 ae 0e 2d 00 13 fd 65 00 e3 ff 00 00 42;66;432173059;-465741;435;3087807;3758;45;-749;101;-29;0
[17:56:37.062] ;8e e4 2e 00 ec 6e c2 19 c2 e4 f8 ff b4 01 a7 0e 13 00 7c fd 61 00 e5 ff 00 00 42;66;432172780;-465726;436;3073166;3751;19;-644;97;-27;0
[17:56:37.607] ;c2 ad 2e 00 49 6d c2 19 d8 e4 f8 ff b4 01 94 0e 10 00 c9 fd 38 00 e6 ff 00 00 42;66;432172361;-465704;436;3059138;3732;16;-567;56;-26;0
[17:56:38.091] ;c2 7d 2e 00 1c 6b c2 19 f6 e4 f8 ff b4 01 98 0e 2b 00 0d fe 3e 00 e7 ff 00 00 42;66;432171804;-465674;436;3046850;3736;43;-499;62;-25;0
[17:56:38.599] ;fb 51 2e 00 05 6a c2 19 05 e5 f8 ff b4 01 95 0e 1d 00 55 fe 1d 00 e8 ff 00 00 42;66;432171525;-465659;436;3035643;3733;29;-427;29;-24;0
[17:56:39.159] ;81 29 2e 00 05 6a c2 19 05 e5 f8 ff b4 01 8f 0e 26 00 93 fe 2b 00 e9 ff 00 00 42;66;432171525;-465659;436;3025281;3727;38;-365;43;-23;0
