Timestamp;Frame;Sts;Lat;Lon;Altitude;Pressure;Temperature;Acceleration X;Acceleration Y;Acceleration Z; Annex 0;Annex 1;
[17:33:54.826] ;80 71 3c 00 c2 8d c2 19 af e2 f8 ff b2 01 3a 10 f7 ff f8 07 ae 01 e9 ff 00 00 48;72;432180674;-466257;434;3961216;4154;-9;2040;430;-23;0
[17:33:55.334] ;34 71 3c 00 c2 8d c2 19 ae e2 f8 ff b3 01 3b 10 f1 ff f8 07 b2 01 e9 ff 00 00 48;72;432180674;-466258;435;3961140;4155;-15;2040;434;-23;0
[17:33:55.843] ;34 71 3c 00 c3 8d c2 19 ac e2 f8 ff b3 01 36 10 f4 ff f7 07 ac 01 e9 ff 00 00 48;72;432180675;-466260;435;3961140;4150;-12;2039;428;-23;0
[17:33:56.351] ;8f 71 3c 00 c3 8d c2 19 aa e2 f8 ff b3 01 37 10 f8 ff fc 07 b2 01 e9 ff 00 00 48;72;432180675;-466262;435;3961231;4151;-8;2044;434;-23;0
[17:33:56.862] ;1e 71 3c 00 c2 8d c2 19 a9 e2 f8 ff b3 01 39 10 f0 ff fc 07 ad 01 e9 ff 00 00 48;72;432180674;-466263;435;3961118;4153;-16;2044;429;-23;0
[17:33:57.370] ;2a 71 3c 00 c1 8d c2 19 a9 e2 f8 ff b3 01 39 10 f4 ff f8 07 b4 01 e9 ff 00 00 48;72;432180673;-466263;435;3961130;4153;-12;2040;436;-23;0
[17:33:57.878] ;cc 70 3c 00 bd 8d c2 19 a8 e2 f8 ff b3 01 39 10 f6 ff fa 07 ad 01 e9 ff 00 00 48;72;432180669;-466264;435;3961036;4153;-10;2042;429;-23;0
[17:33:58.388] ;3b 71 3c 00 bd 8d c2 19 a7 e2 f8 ff b3 01 3a 10 f4 ff fd 07 a9 01 e9 ff 00 00 48;72;432180669;-466265;435;3961147;4154;-12;2045;425;-23;0
[17:33:59.407] ;e9 70 3c 00 be 8d c2 19 a5 e2 f8 ff b3 01 39 10 f0 ff f7 07 aa 01 e9 ff 00 00 48;72;432180670;-466267;435;3961065;4153;-16;2039;426;-23;0
[17:33:59.915] ;91 70 3c 00 bd 8d c2 19 a6 e2 f8 ff b3 01 38 10 f3 ff 01 08 af 01 e9 ff 00 00 48;72;432180669;-466266;435;3960977;4152;-13;2049;431;-23;0
[17:34:00.427] ;1a 71 3c 00 bd 8d c2 19 a4 e2 f8 ff b3 01 37 10 f2 ff fd 07 a3 01 e9 ff 00 00 48;72;432180669;-466268;435;3961114;4151;-14;2045;419;-23;0
[17:34:00.935] ;53 71 3c 00 bc 8d c2 19 a4 e2 f8 ff b3 01 38 10 f3 ff fe 07 ad 01 e9 ff 00 00 48;72;432180668;-466268;435;3961171;4152;-13;2046;429;-23;0
[17:34:01.446] ;04 71 3c 00 ba 8d c2 19 a5 e2 f8 ff b3 01 38 10 f9 ff fc 07 ac 01 e9 ff 00 00 48;72;432180666;-466267;435;3961092;4152;-7;2044;428;-23;0
[17:34:01.954] ;4b 71 3c 00 b6 8d c2 19 a5 e2 f8 ff b3 01 38 10 fb ff f9 07 b6 01 e9 ff 00 00 48;72;432180662;-466267;435;3961163;4152;-5;2041;438;-23;0
[17:34:02.465] ;d0 70 3c 00 b2 8d c2 19 a4 e2 f8 ff b3 01 38 10 f5 ff fb 07 b0 01 e9 ff 00 00 48;72;432180658;-466268;435;3961040;4152;-11;2043;432;-23;0
[17:34:02.974] ;24 71 3c 00 b1 8d c2 19 a4 e2 f8 ff b3 01 38 10 f3 ff fd 07 b0 01 e9 ff 00 00 48;72;432180657;-466268;435;3961124;4152;-13;2045;432;-23;0
